PRE_x_5_sig_First_SNC PRE_y_5_sig_First_SNC BRN_x_5_sig_First_SNC BRN_y_5_sig_First_SNC PST_x_5_sig_First_SNC PST_y_5_sig_First_SNC PRE_x_7.5_sig_Per_SNC PRE_y_7.5_sig_Per_SNC BRN_x_7.5_sig_Per_SNC BRN_y_7.5_sig_Per_SNC PST_x_7.5_sig_Per_SNC PST_y_7.5_sig_Per_SNC PRE_x_10_sig_Per_SNC PRE_y_10_sig_Per_SNC BRN_x_10_sig_Per_SNC BRN_y_10_sig_Per_SNC PST_x_10_sig_Per_SNC PST_y_10_sig_Per_SNC PRE_x_12.5_sig_Per_SNC PRE_y_12.5_sig_Per_SNC BRN_x_12.5_sig_Per_SNC BRN_y_12.5_sig_Per_SNC PST_x_12.5_sig_Per_SNC PST_y_12.5_sig_Per_SNC PRE_x_15_sig_Per_SNC PRE_y_15_sig_Per_SNC BRN_x_15_sig_Per_SNC BRN_y_15_sig_Per_SNC PST_x_15_sig_Per_SNC PST_y_15_sig_Per_SNC
0.525 6386376.819816494 0.525 6885651.121415113 0.525 10789747.906079683 0.525 6386376.819816494 0.525 8870138.020166283 0.525 11246881.933193166 0.525 6386376.819816494 0.525 9066078.01661393 0.525 11188273.239285702 0.525 6386376.819816494 0.525 9167000.861720378 0.525 11128799.955920292 0.525 6386376.819816494 0.525 9496474.673617173 0.525 11136696.734326752
0.5750000000000001 6802478.413073751 0.5750000000000001 5822474.518715742 0.5750000000000001 11348378.426758967 0.5750000000000001 6802478.413073751 0.5750000000000001 7582003.971171106 0.5750000000000001 11868287.941784518 0.5750000000000001 6802478.413073751 0.5750000000000001 7749656.566073241 0.5750000000000001 11806459.041748838 0.5750000000000001 6802478.413073751 0.5750000000000001 7831242.338611597 0.5750000000000001 11744939.658196134 0.5750000000000001 6802478.413073751 0.5750000000000001 8114130.682158177 0.5750000000000001 11757434.164935997
0.6250000000000001 6895368.836975012 0.6250000000000001 5049436.903711363 0.6250000000000001 11231156.969595265 0.6250000000000001 6895368.836975012 0.6250000000000001 6545359.647137682 0.6250000000000001 11701636.441119015 0.6250000000000001 6895368.836975012 0.6250000000000001 6687344.882063264 0.6250000000000001 11640617.146565713 0.6250000000000001 6895368.836975012 0.6250000000000001 6754210.75790592 0.6250000000000001 11581351.323168766 0.6250000000000001 6895368.836975012 0.6250000000000001 7001925.813959446 0.6250000000000001 11601370.530905938
0.675 6482205.8222547425 0.675 4543806.013185173 0.675 10556343.845350076 0.675 6482205.8222547425 0.675 5818086.902444876 0.675 11097860.443733761 0.675 6482205.8222547425 0.675 5942670.336106934 0.675 11038692.574072327 0.675 6482205.8222547425 0.675 5998149.569400378 0.675 10983291.002090607 0.675 6482205.8222547425 0.675 6223475.706083224 0.675 11007889.246591354
0.7250000000000001 6694113.490369764 0.7250000000000001 3979976.2592661083 0.7250000000000001 9791400.161437856 0.7250000000000001 6694113.490369764 0.7250000000000001 5048369.84605652 0.7250000000000001 10288817.978180364 0.7250000000000001 6694113.490369764 0.7250000000000001 5160344.889902571 0.7250000000000001 10234249.219887897 0.7250000000000001 6694113.490369764 0.7250000000000001 5206504.230685023 0.7250000000000001 10182706.68025582 0.7250000000000001 6694113.490369764 0.7250000000000001 5405925.530963563 0.7250000000000001 10224344.728870716
0.775 6499441.02125289 0.775 3469765.8935950776 0.775 8937433.40947892 0.775 6499441.02125289 0.775 4430236.939881731 0.775 9411978.055382049 0.775 6499441.02125289 0.775 4529263.5310208835 0.775 9362709.017703949 0.775 6499441.02125289 0.775 4565963.768909223 0.775 9313822.840226235 0.775 6499441.02125289 0.775 4745891.371771007 0.775 9345068.542969627
0.8250000000000001 6901427.359530647 0.8250000000000001 3408058.290318669 0.8250000000000001 8646267.565292172 0.8250000000000001 6901427.359530647 0.8250000000000001 4333707.896068341 0.8250000000000001 9163199.88702702 0.8250000000000001 6901427.359530647 0.8250000000000001 4427970.411581611 0.8250000000000001 9116685.708474103 0.8250000000000001 6901427.359530647 0.8250000000000001 4452819.853914373 0.8250000000000001 9067977.744151592 0.8250000000000001 6901427.359530647 0.8250000000000001 4630203.804677376 0.8250000000000001 9108237.97997468
0.8750000000000001 6270950.248774129 0.8750000000000001 3490508.673834693 0.8750000000000001 8902343.12360268 0.8750000000000001 6270950.248774129 0.8750000000000001 4486433.6662951475 0.8750000000000001 9357002.996930173 0.8750000000000001 6270950.248774129 0.8750000000000001 4586811.444074848 0.8750000000000001 9310137.339888634 0.8750000000000001 6270950.248774129 0.8750000000000001 4604438.977480481 0.8750000000000001 9261107.67850157 0.8750000000000001 6270950.248774129 0.8750000000000001 4785455.123280864 0.8750000000000001 9303611.965886204
0.925 5767433.032986052 0.925 3344599.392320302 0.925 9181084.569500078 0.925 5767433.032986052 0.925 4442996.275759112 0.925 9659044.512258245 0.925 5767433.032986052 0.925 4540939.007242965 0.925 9611036.00443273 0.925 5767433.032986052 0.925 4541668.695990591 0.925 9561463.985297872 0.925 5767433.032986052 0.925 4719451.320377582 0.925 9613519.546963206
0.9750000000000001 5534547.834720542 0.9750000000000001 3009883.884235249 0.9750000000000001 10174453.558341589 0.9750000000000001 5534547.834720542 0.9750000000000001 4118801.0281271124 0.9750000000000001 10628598.958097473 0.9750000000000001 5534547.834720542 0.9750000000000001 4206365.772693365 0.9750000000000001 10574220.711969608 0.9750000000000001 5534547.834720542 0.9750000000000001 4202275.538320121 0.9750000000000001 10521257.833993526 0.9750000000000001 5534547.834720542 0.9750000000000001 4365040.595473721 0.9750000000000001 10575196.314400395
