PRE_x_5_sig_First_SNC PRE_y_5_sig_First_SNC BRN_x_5_sig_First_SNC BRN_y_5_sig_First_SNC PST_x_5_sig_First_SNC PST_y_5_sig_First_SNC PRE_x_7.5_sig_Per_SNC PRE_y_7.5_sig_Per_SNC BRN_x_7.5_sig_Per_SNC BRN_y_7.5_sig_Per_SNC PST_x_7.5_sig_Per_SNC PST_y_7.5_sig_Per_SNC PRE_x_10_sig_Per_SNC PRE_y_10_sig_Per_SNC BRN_x_10_sig_Per_SNC BRN_y_10_sig_Per_SNC PST_x_10_sig_Per_SNC PST_y_10_sig_Per_SNC PRE_x_12.5_sig_Per_SNC PRE_y_12.5_sig_Per_SNC BRN_x_12.5_sig_Per_SNC BRN_y_12.5_sig_Per_SNC PST_x_12.5_sig_Per_SNC PST_y_12.5_sig_Per_SNC PRE_x_15_sig_Per_SNC PRE_y_15_sig_Per_SNC BRN_x_15_sig_Per_SNC BRN_y_15_sig_Per_SNC PST_x_15_sig_Per_SNC PST_y_15_sig_Per_SNC
0.525 303.5011252548474 0.525 125377801.89535058 0.525 14701297.82064398 0.525 303.5011252548474 0.525 157525708.82258284 0.525 8022923.150613798 0.525 303.5011252548474 0.525 161186379.8342319 0.525 8470681.507695952 0.525 303.5011252548474 0.525 164321064.58851084 0.525 7890321.865221575 0.525 303.5011252548474 0.525 171314933.96101573 0.525 7501932.292311689
0.5750000000000001 307.95850420908863 0.5750000000000001 117070517.76373847 0.5750000000000001 12413761.4235309 0.5750000000000001 307.95850420908863 0.5750000000000001 149207594.73042572 0.5750000000000001 7854868.856015482 0.5750000000000001 307.95850420908863 0.5750000000000001 152640864.38200063 0.5750000000000001 8462280.974103063 0.5750000000000001 307.95850420908863 0.5750000000000001 155981896.21061826 0.5750000000000001 7830462.848417732 0.5750000000000001 307.95850420908863 0.5750000000000001 163111005.43893823 0.5750000000000001 7229285.790142505
0.6250000000000001 291.43380326050715 0.6250000000000001 114210887.42419383 0.6250000000000001 12003025.706025511 0.6250000000000001 291.43380326050715 0.6250000000000001 141175783.8383004 0.6250000000000001 9142184.878863297 0.6250000000000001 291.43380326050715 0.6250000000000001 144396960.7560259 0.6250000000000001 9628381.949458348 0.6250000000000001 291.43380326050715 0.6250000000000001 148143607.19868436 0.6250000000000001 8697245.50340828 0.6250000000000001 291.43380326050715 0.6250000000000001 154672679.07700458 0.6250000000000001 8236822.726654289
0.675 291.8696933052243 0.675 115181523.21049748 0.675 17900118.035025094 0.675 291.8696933052243 0.675 147021675.55965507 0.675 11657177.236673795 0.675 291.8696933052243 0.675 150418469.20500377 0.675 11904082.988942651 0.675 291.8696933052243 0.675 154064256.48420027 0.675 11063382.886014532 0.675 291.8696933052243 0.675 160414618.00693887 0.675 10790684.581003837
0.7250000000000001 278.99240806087624 0.7250000000000001 113920640.69038482 0.7250000000000001 16038948.022994792 0.7250000000000001 278.99240806087624 0.7250000000000001 136643022.45019683 0.7250000000000001 10726572.593271324 0.7250000000000001 278.99240806087624 0.7250000000000001 139753956.1511364 0.7250000000000001 11216729.604976512 0.7250000000000001 278.99240806087624 0.7250000000000001 142704829.5051884 0.7250000000000001 10640585.873932306 0.7250000000000001 278.99240806087624 0.7250000000000001 149232915.6271532 0.7250000000000001 10105299.493993295
0.775 265.826697970243 0.775 137138061.64661905 0.775 16689313.86968926 0.775 265.826697970243 0.775 165062942.17780843 0.775 7276523.267753575 0.775 265.826697970243 0.775 168834973.51729622 0.775 7902129.211248109 0.775 265.826697970243 0.775 172453113.60911772 0.775 7180211.002780778 0.775 265.826697970243 0.775 180164827.08218327 0.775 6585878.373300477
0.8250000000000001 274.3453021425837 0.8250000000000001 139455889.3746732 0.8250000000000001 13895782.416919595 0.8250000000000001 274.3453021425837 0.8250000000000001 154182864.05173764 0.8250000000000001 7116649.547295429 0.8250000000000001 274.3453021425837 0.8250000000000001 157686169.3302485 0.8250000000000001 7471761.271498517 0.8250000000000001 274.3453021425837 0.8250000000000001 161172118.2980352 0.8250000000000001 6764313.5540940175 0.8250000000000001 274.3453021425837 0.8250000000000001 167874279.06734747 0.8250000000000001 6430619.546474543
0.8750000000000001 255.71132717089748 0.8750000000000001 150305744.5223105 0.8750000000000001 45464300.85625008 0.8750000000000001 255.71132717089748 0.8750000000000001 228730805.16867793 0.8750000000000001 12380479.33166132 0.8750000000000001 255.71132717089748 0.8750000000000001 233978660.6446313 0.8750000000000001 12707263.10085271 0.8750000000000001 255.71132717089748 0.8750000000000001 238243044.08141744 0.8750000000000001 12005787.01994239 0.8750000000000001 255.71132717089748 0.8750000000000001 247731895.5771403 0.8750000000000001 11643950.93416245
0.925 259.142020848468 0.925 143061391.98441622 0.925 30697703.099355403 0.925 259.142020848468 0.925 196304349.38575155 0.925 12112609.62929809 0.925 259.142020848468 0.925 200796118.29685137 0.925 12711488.747268096 0.925 259.142020848468 0.925 204464766.93648133 0.925 12115328.047368214 0.925 259.142020848468 0.925 213367804.5925858 0.925 11516137.615086693
0.9750000000000001 242.22555957763768 0.9750000000000001 130962233.2609232 0.9750000000000001 30080554.443089128 0.9750000000000001 242.22555957763768 0.9750000000000001 197953506.03118908 0.9750000000000001 8066918.771544633 0.9750000000000001 242.22555957763768 0.9750000000000001 202434521.91258428 0.9750000000000001 8563489.405540202 0.9750000000000001 242.22555957763768 0.9750000000000001 205998925.7717111 0.9750000000000001 8042501.473770852 0.9750000000000001 242.22555957763768 0.9750000000000001 214723895.5913094 0.9750000000000001 7538743.116106158
